Year,State Name,SEA Education Environment,SEA Disability Category,Age 5 (School Age)-11,Age 12-17,Age 18-21,Age 5 (School Age)-21
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Emotional disturbance,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Emotional disturbance,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Emotional disturbance,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Emotional disturbance,-,-,-,-
2021,Alabama,"Total, Early Childhood",Emotional disturbance,-,-,-,-
2021,Alabama,"Total, School Age",Emotional disturbance,321,820,56,1197
2021,Alabama,Correctional Facilities,Hearing impairment,0,0,0,0
2021,Alabama,Home,Hearing impairment,-,-,-,-
2021,Alabama,Homebound/Hospital,Hearing impairment,1,2,0,3
2021,Alabama,Inside regular class 40% through 79% of the day,Hearing impairment,31,28,4,63
2021,Alabama,Inside regular class 80% or more of the day,Hearing impairment,245,283,31,559
2021,Alabama,Inside regular class less than 40% of the day,Hearing impairment,18,9,1,28
2021,Alabama,Parentally Placed in Private Schools,Hearing impairment,0,2,0,2
2021,Alabama,"Residential Facility, Early Childhood",Hearing impairment,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Hearing impairment,23,64,11,98
2021,Alabama,Separate Class,Hearing impairment,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Hearing impairment,-,-,-,-
2021,Alabama,"Separate School, School Age",Hearing impairment,32,28,4,64
2021,Alabama,Service Provider Location,Hearing impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Hearing impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Hearing impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Hearing impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Hearing impairment,-,-,-,-
2021,Alabama,"Total, Early Childhood",Hearing impairment,-,-,-,-
2021,Alabama,"Total, School Age",Hearing impairment,350,416,51,817
2021,Alabama,Correctional Facilities,Intellectual disability,0,1,0,1
2021,Alabama,Home,Intellectual disability,-,-,-,-
2021,Alabama,Homebound/Hospital,Intellectual disability,4,10,4,18
2021,Alabama,Inside regular class 40% through 79% of the day,Intellectual disability,516,861,172,1549
2021,Alabama,Inside regular class 80% or more of the day,Intellectual disability,961,1696,191,2848
2021,Alabama,Inside regular class less than 40% of the day,Intellectual disability,589,1195,346,2130
2021,Alabama,Parentally Placed in Private Schools,Intellectual disability,0,3,1,4
2021,Alabama,"Residential Facility, Early Childhood",Intellectual disability,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Intellectual disability,5,27,15,47
2021,Alabama,Separate Class,Intellectual disability,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Intellectual disability,-,-,-,-
2021,Alabama,"Separate School, School Age",Intellectual disability,26,106,56,188
2021,Alabama,Service Provider Location,Intellectual disability,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Intellectual disability,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Intellectual disability,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Intellectual disability,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Intellectual disability,-,-,-,-
2021,Alabama,"Total, Early Childhood",Intellectual disability,-,-,-,-
2021,Alabama,"Total, School Age",Intellectual disability,2101,3899,785,6785
2021,Alabama,Correctional Facilities,Multiple disabilities,0,0,0,0
2021,Alabama,Home,Multiple disabilities,-,-,-,-
2021,Alabama,Homebound/Hospital,Multiple disabilities,13,18,8,39
2021,Alabama,Inside regular class 40% through 79% of the day,Multiple disabilities,81,80,18,179
2021,Alabama,Inside regular class 80% or more of the day,Multiple disabilities,75,73,13,161
2021,Alabama,Inside regular class less than 40% of the day,Multiple disabilities,184,310,116,610
2021,Alabama,Parentally Placed in Private Schools,Multiple disabilities,0,0,0,0
2021,Alabama,"Residential Facility, Early Childhood",Multiple disabilities,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Multiple disabilities,3,16,22,41
2021,Alabama,Separate Class,Multiple disabilities,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Multiple disabilities,-,-,-,-
2021,Alabama,"Separate School, School Age",Multiple disabilities,57,118,68,243
2021,Alabama,Service Provider Location,Multiple disabilities,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Multiple disabilities,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Multiple disabilities,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Multiple disabilities,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Multiple disabilities,-,-,-,-
2021,Alabama,"Total, Early Childhood",Multiple disabilities,-,-,-,-
2021,Alabama,"Total, School Age",Multiple disabilities,413,615,245,1273
2021,Alabama,Correctional Facilities,Orthopedic impairment,0,0,0,0
2021,Alabama,Home,Orthopedic impairment,-,-,-,-
2021,Alabama,Homebound/Hospital,Orthopedic impairment,3,7,2,12
2021,Alabama,Inside regular class 40% through 79% of the day,Orthopedic impairment,17,20,5,42
2021,Alabama,Inside regular class 80% or more of the day,Orthopedic impairment,131,130,9,270
2021,Alabama,Inside regular class less than 40% of the day,Orthopedic impairment,47,45,12,104
2021,Alabama,Parentally Placed in Private Schools,Orthopedic impairment,0,0,0,0
2021,Alabama,"Residential Facility, Early Childhood",Orthopedic impairment,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Orthopedic impairment,0,0,0,0
2021,Alabama,Separate Class,Orthopedic impairment,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Orthopedic impairment,-,-,-,-
2021,Alabama,"Separate School, School Age",Orthopedic impairment,2,6,1,9
2021,Alabama,Service Provider Location,Orthopedic impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Orthopedic impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Orthopedic impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Orthopedic impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Orthopedic impairment,-,-,-,-
2021,Alabama,"Total, Early Childhood",Orthopedic impairment,-,-,-,-
2021,Alabama,"Total, School Age",Orthopedic impairment,200,208,29,437
2021,Alabama,Correctional Facilities,Other health impairment,0,5,0,5
2021,Alabama,Home,Other health impairment,-,-,-,-
2021,Alabama,Homebound/Hospital,Other health impairment,53,56,8,117
2021,Alabama,Inside regular class 40% through 79% of the day,Other health impairment,382,317,33,732
2021,Alabama,Inside regular class 80% or more of the day,Other health impairment,4551,6508,456,11515
2021,Alabama,Inside regular class less than 40% of the day,Other health impairment,305,235,54,594
2021,Alabama,Parentally Placed in Private Schools,Other health impairment,4,1,0,5
2021,Alabama,"Residential Facility, Early Childhood",Other health impairment,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Other health impairment,14,64,12,90
2021,Alabama,Separate Class,Other health impairment,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Other health impairment,-,-,-,-
2021,Alabama,"Separate School, School Age",Other health impairment,84,61,10,155
2021,Alabama,Service Provider Location,Other health impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Other health impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Other health impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Other health impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Other health impairment,-,-,-,-
2021,Alabama,"Total, Early Childhood",Other health impairment,-,-,-,-
2021,Alabama,"Total, School Age",Other health impairment,5393,7247,573,13213
2021,Alabama,Correctional Facilities,Specific learning disability,0,3,0,3
2021,Alabama,Home,Specific learning disability,-,-,-,-
2021,Alabama,Homebound/Hospital,Specific learning disability,5,17,9,31
2021,Alabama,Inside regular class 40% through 79% of the day,Specific learning disability,420,589,52,1061
2021,Alabama,Inside regular class 80% or more of the day,Specific learning disability,12681,21229,2019,35929
2021,Alabama,Inside regular class less than 40% of the day,Specific learning disability,52,49,11,112
2021,Alabama,Parentally Placed in Private Schools,Specific learning disability,9,5,0,14
2021,Alabama,"Residential Facility, Early Childhood",Specific learning disability,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Specific learning disability,5,68,6,79
2021,Alabama,Separate Class,Specific learning disability,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Specific learning disability,-,-,-,-
2021,Alabama,"Separate School, School Age",Specific learning disability,6,48,6,60
2021,Alabama,Service Provider Location,Specific learning disability,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Specific learning disability,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Specific learning disability,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Specific learning disability,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Specific learning disability,-,-,-,-
2021,Alabama,"Total, Early Childhood",Specific learning disability,-,-,-,-
2021,Alabama,"Total, School Age",Specific learning disability,13178,22008,2103,37289
2021,Alabama,Correctional Facilities,Speech or language impairment,0,0,0,0
2021,Alabama,Home,Speech or language impairment,-,-,-,-
2021,Alabama,Homebound/Hospital,Speech or language impairment,4,1,0,5
2021,Alabama,Inside regular class 40% through 79% of the day,Speech or language impairment,72,39,4,115
2021,Alabama,Inside regular class 80% or more of the day,Speech or language impairment,13692,1535,32,15259
2021,Alabama,Inside regular class less than 40% of the day,Speech or language impairment,36,9,1,46
2021,Alabama,Parentally Placed in Private Schools,Speech or language impairment,322,13,0,335
2021,Alabama,"Residential Facility, Early Childhood",Speech or language impairment,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Speech or language impairment,0,1,0,1
2021,Alabama,Separate Class,Speech or language impairment,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Speech or language impairment,-,-,-,-
2021,Alabama,"Separate School, School Age",Speech or language impairment,6,1,0,7
2021,Alabama,Service Provider Location,Speech or language impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Speech or language impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Speech or language impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Speech or language impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Speech or language impairment,-,-,-,-
2021,Alabama,"Total, Early Childhood",Speech or language impairment,-,-,-,-
2021,Alabama,"Total, School Age",Speech or language impairment,14132,1599,37,15768
2021,Alabama,Correctional Facilities,Traumatic brain injury,0,0,0,0
2021,Alabama,Home,Traumatic brain injury,-,-,-,-
2021,Alabama,Homebound/Hospital,Traumatic brain injury,3,4,0,7
2021,Alabama,Inside regular class 40% through 79% of the day,Traumatic brain injury,15,8,4,27
2021,Alabama,Inside regular class 80% or more of the day,Traumatic brain injury,46,80,13,139
2021,Alabama,Inside regular class less than 40% of the day,Traumatic brain injury,21,23,6,50
2021,Alabama,Parentally Placed in Private Schools,Traumatic brain injury,0,0,0,0
2021,Alabama,"Residential Facility, Early Childhood",Traumatic brain injury,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Traumatic brain injury,0,2,0,2
2021,Alabama,Separate Class,Traumatic brain injury,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Traumatic brain injury,-,-,-,-
2021,Alabama,"Separate School, School Age",Traumatic brain injury,2,5,0,7
2021,Alabama,Service Provider Location,Traumatic brain injury,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Traumatic brain injury,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Traumatic brain injury,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Traumatic brain injury,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Traumatic brain injury,-,-,-,-
2021,Alabama,"Total, Early Childhood",Traumatic brain injury,-,-,-,-
2021,Alabama,"Total, School Age",Traumatic brain injury,87,122,23,232
2021,Alabama,Correctional Facilities,Visual impairment,0,0,0,0
2021,Alabama,Home,Visual impairment,-,-,-,-
2021,Alabama,Homebound/Hospital,Visual impairment,0,0,1,1
2021,Alabama,Inside regular class 40% through 79% of the day,Visual impairment,8,10,2,20
2021,Alabama,Inside regular class 80% or more of the day,Visual impairment,132,177,11,320
2021,Alabama,Inside regular class less than 40% of the day,Visual impairment,12,16,2,30
2021,Alabama,Parentally Placed in Private Schools,Visual impairment,0,1,0,1
2021,Alabama,"Residential Facility, Early Childhood",Visual impairment,-,-,-,-
2021,Alabama,"Residential Facility, School Age",Visual impairment,3,34,3,40
2021,Alabama,Separate Class,Visual impairment,-,-,-,-
2021,Alabama,"Separate School, Early Childhood",Visual impairment,-,-,-,-
2021,Alabama,"Separate School, School Age",Visual impairment,24,25,6,55
2021,Alabama,Service Provider Location,Visual impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Visual impairment,-,-,-,-
2021,Alabama,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Visual impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend at least 10 hours),Visual impairment,-,-,-,-
2021,Alabama,Services in Regular Early Childhood Program (attend less than 10 hours),Visual impairment,-,-,-,-
2021,Alabama,"Total, Early Childhood",Visual impairment,-,-,-,-
2021,Alabama,"Total, School Age",Visual impairment,179,263,25,467
2021,Alaska,Correctional Facilities,All Disabilities,0,39,10,49
2021,Alaska,Home,All Disabilities,-,-,-,-
2021,Alaska,Homebound/Hospital,All Disabilities,12,16,2,30
2021,Alaska,Inside regular class 40% through 79% of the day,All Disabilities,1529,1671,105,3305
2021,Alaska,Inside regular class 80% or more of the day,All Disabilities,6848,4975,430,12253
2021,Alaska,Inside regular class less than 40% of the day,All Disabilities,1045,771,123,1939
2021,Alaska,Parentally Placed in Private Schools,All Disabilities,6,2,0,8
2021,Alaska,"Residential Facility, Early Childhood",All Disabilities,-,-,-,-
2021,Alaska,"Residential Facility, School Age",All Disabilities,2,34,6,42
2021,Alaska,Separate Class,All Disabilities,-,-,-,-
2021,Alaska,"Separate School, Early Childhood",All Disabilities,-,-,-,-
2021,Alaska,"Separate School, School Age",All Disabilities,31,98,178,307
2021,Alaska,Service Provider Location,All Disabilities,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),All Disabilities,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),All Disabilities,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend at least 10 hours),All Disabilities,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend less than 10 hours),All Disabilities,-,-,-,-
2021,Alaska,"Total, Early Childhood",All Disabilities,-,-,-,-
2021,Alaska,"Total, School Age",All Disabilities,9473,7606,854,17933
2021,Alaska,Correctional Facilities,Autism,0,1,0,1
2021,Alaska,Home,Autism,-,-,-,-
2021,Alaska,Homebound/Hospital,Autism,0,3,0,3
2021,Alaska,Inside regular class 40% through 79% of the day,Autism,135,162,7,304
2021,Alaska,Inside regular class 80% or more of the day,Autism,358,387,26,771
2021,Alaska,Inside regular class less than 40% of the day,Autism,337,167,27,531
2021,Alaska,Parentally Placed in Private Schools,Autism,1,1,0,2
2021,Alaska,"Residential Facility, Early Childhood",Autism,-,-,-,-
2021,Alaska,"Residential Facility, School Age",Autism,0,3,2,5
2021,Alaska,Separate Class,Autism,-,-,-,-
2021,Alaska,"Separate School, Early Childhood",Autism,-,-,-,-
2021,Alaska,"Separate School, School Age",Autism,3,13,45,61
2021,Alaska,Service Provider Location,Autism,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Autism,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Autism,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend at least 10 hours),Autism,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend less than 10 hours),Autism,-,-,-,-
2021,Alaska,"Total, Early Childhood",Autism,-,-,-,-
2021,Alaska,"Total, School Age",Autism,834,737,107,1678
2021,Alaska,Correctional Facilities,Deaf-blindness,0,0,0,0
2021,Alaska,Home,Deaf-blindness,-,-,-,-
2021,Alaska,Homebound/Hospital,Deaf-blindness,0,0,0,0
2021,Alaska,Inside regular class 40% through 79% of the day,Deaf-blindness,0,0,0,0
2021,Alaska,Inside regular class 80% or more of the day,Deaf-blindness,2,0,1,3
2021,Alaska,Inside regular class less than 40% of the day,Deaf-blindness,0,1,0,1
2021,Alaska,Parentally Placed in Private Schools,Deaf-blindness,0,0,0,0
2021,Alaska,"Residential Facility, Early Childhood",Deaf-blindness,-,-,-,-
2021,Alaska,"Residential Facility, School Age",Deaf-blindness,0,0,0,0
2021,Alaska,Separate Class,Deaf-blindness,-,-,-,-
2021,Alaska,"Separate School, Early Childhood",Deaf-blindness,-,-,-,-
2021,Alaska,"Separate School, School Age",Deaf-blindness,0,0,0,0
2021,Alaska,Service Provider Location,Deaf-blindness,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Deaf-blindness,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Deaf-blindness,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend at least 10 hours),Deaf-blindness,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend less than 10 hours),Deaf-blindness,-,-,-,-
2021,Alaska,"Total, Early Childhood",Deaf-blindness,-,-,-,-
2021,Alaska,"Total, School Age",Deaf-blindness,2,1,1,4
2021,Alaska,Correctional Facilities,Developmental delay,0,-,-,0
2021,Alaska,Home,Developmental delay,-,-,-,-
2021,Alaska,Homebound/Hospital,Developmental delay,1,-,-,1
2021,Alaska,Inside regular class 40% through 79% of the day,Developmental delay,312,-,-,312
2021,Alaska,Inside regular class 80% or more of the day,Developmental delay,1153,-,-,1153
2021,Alaska,Inside regular class less than 40% of the day,Developmental delay,249,-,-,249
2021,Alaska,Parentally Placed in Private Schools,Developmental delay,2,-,-,2
2021,Alaska,"Residential Facility, Early Childhood",Developmental delay,-,-,-,-
2021,Alaska,"Residential Facility, School Age",Developmental delay,0,-,-,0
2021,Alaska,Separate Class,Developmental delay,-,-,-,-
2021,Alaska,"Separate School, Early Childhood",Developmental delay,-,-,-,-
2021,Alaska,"Separate School, School Age",Developmental delay,6,-,-,6
2021,Alaska,Service Provider Location,Developmental delay,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Developmental delay,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Developmental delay,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend at least 10 hours),Developmental delay,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend less than 10 hours),Developmental delay,-,-,-,-
2021,Alaska,"Total, Early Childhood",Developmental delay,-,-,-,-
2021,Alaska,"Total, School Age",Developmental delay,1723,-,-,1723
2021,Alaska,Correctional Facilities,Emotional disturbance,0,19,2,21
2021,Alaska,Home,Emotional disturbance,-,-,-,-
2021,Alaska,Homebound/Hospital,Emotional disturbance,0,0,0,0
2021,Alaska,Inside regular class 40% through 79% of the day,Emotional disturbance,34,100,4,138
2021,Alaska,Inside regular class 80% or more of the day,Emotional disturbance,131,249,20,400
2021,Alaska,Inside regular class less than 40% of the day,Emotional disturbance,49,54,3,106
2021,Alaska,Parentally Placed in Private Schools,Emotional disturbance,1,0,0,1
2021,Alaska,"Residential Facility, Early Childhood",Emotional disturbance,-,-,-,-
2021,Alaska,"Residential Facility, School Age",Emotional disturbance,0,7,0,7
2021,Alaska,Separate Class,Emotional disturbance,-,-,-,-
2021,Alaska,"Separate School, Early Childhood",Emotional disturbance,-,-,-,-
2021,Alaska,"Separate School, School Age",Emotional disturbance,8,28,2,38
2021,Alaska,Service Provider Location,Emotional disturbance,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend at least 10 hours),Emotional disturbance,-,-,-,-
2021,Alaska,Services in Other Location than Regular Early Childhood Program (attend less than 10 hours),Emotional disturbance,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend at least 10 hours),Emotional disturbance,-,-,-,-
2021,Alaska,Services in Regular Early Childhood Program (attend less than 10 hours),Emotional disturbance,-,-,-,-
