yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,majorityStatusAtExploit,majorityEntry,citizenship,meansOfControlDebtBondage,meansOfControlTakesEarnings,meansOfControlRestrictsFinancialAccess,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlFalsePromises,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlRestrictsMedicalCare,meansOfControlExcessiveWorkingHours,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,meansOfControlWithholdsNecessities,meansOfControlWithholdsDocuments,meansOfControlOther,meansOfControlNotSpecified,meansOfControlConcatenated,isForcedLabour,isSexualExploit,isOtherExploit,isSexAndLabour,isForcedMarriage,isForcedMilitary,isOrganRemoval,isSlaveryAndPractices,typeOfExploitConcatenated,typeOfLabourAgriculture,typeOfLabourAquafarming,typeOfLabourBegging,typeOfLabourConstruction,typeOfLabourDomesticWork,typeOfLabourHospitality,typeOfLabourIllicitActivities,typeOfLabourManufacturing,typeOfLabourMiningOrDrilling,typeOfLabourPeddling,typeOfLabourTransportation,typeOfLabourOther,typeOfLabourNotSpecified,typeOfLabourConcatenated,typeOfSexProstitution,typeOfSexPornography,typeOfSexRemoteInteractiveServices,typeOfSexPrivateSexualServices,typeOfSexConcatenated,isAbduction,RecruiterRelationship,CountryOfExploitation,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther,recruiterRelationUnknown
2018,Case Management,Female,0--8,Minor,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,0--8,Minor,-99,-99,MD,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,MD,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,-99,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,-99,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,-99,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,-99,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,-99,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Adult,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,-99,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Adult,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,-99,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,18--20,Adult,Minor,-99,KH,0,0,-99,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,1,Not specified,0,1,0,0,0,0,0,0,Sexual exploitation,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,-99,-99,0,-99,KH,0,0,0,0,1
2018,Case Management,Female,21--23,Adult,Adult,-99,KH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False promises,0,0,0,0,1,0,0,0,Forced marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,-99,0,Friend/Acquaintance,CN,0,1,0,0,0
2018,Case Management,Female,21--23,Adult,Adult,-99,KH,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Physical abuse,0,0,0,0,1,0,0,0,Forced marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,-99,-99,0,Friend/Acquaintance,CN,0,1,0,0,0
